Designator,Mid X,Mid Y,Rotation,Layer
C1_2,145.1,-107.7,90.0,top
C1,160.2545,-81.491317,0.0,top
C10,143.7,-121.3,180.0,top
C11,141.82,-121.3,180.0,top
C12,146.2,-110.7,90.0,top
C13,138.4,-88.025,270.0,top
C14,140.3,-91.3,180.0,top
C15,139.8,-123.9,270.0,top
C16,145.0,-122.88,90.0,top
C17,143.5,-107.75,0.0,top
C18,144.48,-101.5,0.0,top
C19,142.48,-101.5,0.0,top
C2_2,169.9104,-80.983317,0.0,top
C2,137.62,-114.1,180.0,top
C20,141.0,-102.27,270.0,top
C21,139.75,-102.25,270.0,top
C3,137.7,-115.7,180.0,top
C4,147.2,-110.68,90.0,top
C5,149.5,-117.0,0.0,top
C6,138.4,-116.7,180.0,top
C7,137.62,-113.1,180.0,top
C8,148.6,-113.2,0.0,top
C9,149.6,-118.0,0.0,top
D1_2,146.4125,-94.5,0.0,top
D1,159.852,-107.924249,0.0,top
D2_2,159.812,-102.784983,180.0,top
D2,147.1,-99.0,180.0,top
D3_2,149.1125,-124.3,0.0,top
D3,159.852,-113.063517,0.0,top
D4,159.812,-97.645717,180.0,top
D5,173.9236,-90.305117,270.0,top
D6,173.2124,-117.737117,90.0,top
J1_2,160.67,-121.2,0.0,top
J1,143.5,-81.0,180.0,top
J2_2,134.61,-104.0,0.0,top
J2,180.553,-126.500117,0.0,top
J3_2,179.41,-81.542117,0.0,top
J3,152.39,-104.0,0.0,top
J4,143.5,-127.89,90.0,top
R1_2,171.409,-86.190317,0.0,top
R1,145.5,-87.2,270.0,top
R10,149.5,-122.9,0.0,top
R2_2,143.2,-87.3,270.0,top
R2,171.4598,-124.620517,180.0,top
R3,144.2,-110.74,270.0,top
R4,145.2,-110.74,270.0,top
R5,139.9,-121.3,0.0,top
R6,140.31,-100.3,180.0,top
R7,139.3,-106.5,0.0,top
R8,149.025,-94.58,180.0,top
R9,147.1,-97.6,180.0,top
SW1_2,147.5,-91.5,0.0,top
SW1,173.04,-102.942117,90.0,top
U1_2,143.5,-116.0,90.0,top
U1,162.8545,-89.822517,0.0,top
U2,141.0,-88.4375,270.0,top
U3,140.25,-108.5,0.0,top
U4,143.5,-104.0,0.0,top
Y1,142.4,-123.5,180.0,top
